title,author,score,num_comments,created_utc
New Job Listings,AutoModerator,4,2,2024-07-09 19:12:08
Looking for community feedback,JonODonovan,12,1,2024-06-18 17:20:59
Best YT channels for keeping up with new ads?,ArchStLou15,20,13,2024-07-17 14:26:43
I graduated in May this year with a degree in Economics... only to realize that I hate Economics and now wish to try to break into Advertising. How can I best do this?,OhioOhO,0,15,2024-07-18 00:55:28
How to connect dashboards to slide decks for client reporting?,missouribrakes,2,2,2024-07-17 20:01:31
Career Progression,throwaway52725818,2,5,2024-07-17 16:47:41
Express yourselves...,ColBo_Bally,2,4,2024-07-17 11:24:37
Gillette advert feels inappropriate ,Interesting-Camera40,0,10,2024-07-17 22:54:44
Ad campaign testing help! ,yv2696,1,1,2024-07-17 06:06:58
Want to transition to Creative Strategy ,No_Evidence_6613,13,15,2024-07-16 09:11:08
Who is responsible for writing a production brief?,ThoughtExplorer99,7,9,2024-07-16 12:42:28
What are the Effective Ways to Boost Customer Engagement and Retention?,ProfessionProof288,10,9,2024-07-16 06:21:06
Copywriting student (USA) wants move (London/EU),LucilleBVsLucille2,3,8,2024-07-16 11:10:13
How to advertise a crypto project?,Etheawesome,0,4,2024-07-16 15:13:43
Hot leads in your inbox,chinkapin_,0,5,2024-07-16 13:48:07
Advice Needed for Non-Digital OOH Advertising,One_Lingonberry7641,0,3,2024-07-16 01:07:02
Is anyone using Freewheel Strata or MediaOcean for Media Buying?,JortsVanGuy,0,1,2024-07-16 02:38:50
Internship essentials,AdityaG10,2,6,2024-07-15 04:30:11
Anyone work for an agency that uses Kandji to track computers?,Average_Human12,1,4,2024-07-14 17:26:00
Internship ,antidotea,2,4,2024-07-13 18:10:18
Learn how to run Meta Ads from one post…,nmvalkov,19,10,2024-07-13 05:17:11
Moving Back into traditional advertising from Influencer?,cpsg1995,0,5,2024-07-13 14:24:41
"Zuckerberg &amp; Instagram lead, Adam Mosseri, have shedded light on future plans for the app...",No_Sail_2168,35,16,2024-07-12 15:50:48
Meta Creative ,InitialMenu3834,1,4,2024-07-13 05:44:29
Anybody else notice “strategic absences” esp among senior / key people?,Blormpf,12,9,2024-07-12 13:51:04
"How can I directly sell ads for a Blog with 50,000+ monthly visitors?",youbutummnotyou,1,5,2024-07-13 02:19:58
Is low resolution blurry on a billboard?,Normal_Positive_5457,1,16,2024-07-13 01:23:35
